Created at [Route Purchase],Price [Route Purchase],Id [Route],Title [Route],Type [Payment],Id [User]
"January 01, 2025 16:14",0.0,1447,Upper Cableway Station Audio Guide: Tabletop Walking Tour,FreePayment,387615
"January 01, 2025 16:21",7.99,4534,Europe’s Most Haunted City: A Walk with the Ghosts of York,AndroidPayment,387618
"January 01, 2025 16:25",7.99,4534,Europe’s Most Haunted City: A Walk with the Ghosts of York,AndroidPayment,387619
"January 01, 2025 16:36",9.99,8246,The Secrets of the Historical Garden District: A Walking Tour,InAppPurchase,387204
"January 01, 2025 16:37",9.99,10005,Palaces and Piazzas: The Highlights of Florence,InAppPurchase,68148
"January 01, 2025 16:37",6.99,10817,St Louis Cemetery No.3: A Guide to New Orleans’ Unique Burial Traditions,InAppPurchase,387620
"January 01, 2025 16:45",9.99,8246,The Secrets of the Historical Garden District: A Walking Tour,StripePayment,387622
"January 01, 2025 16:49",11.99,8053,The Very Best of Old Montreal: A Tour from Place D‘Armes to the Old Port,InAppPurchase,387624
"January 01, 2025 16:55",11.99,7556,Enchanting Granada: A Walking Tour of the Historical Centre and Lower Albaicín,InAppPurchase,387625
"January 01, 2025 16:55",14.99,7883,"Rockefeller Center Audio Tour: A Guide to its History, Art and Architecture",InAppPurchase,249472
"January 01, 2025 16:57",9.99,8246,The Secrets of the Historical Garden District: A Walking Tour,InAppPurchase,387623
"January 01, 2025 17:05",8.99,9624,A Town of Kings and Rebels: A Stroll Along Dún Laoghaire's East Pier,InAppPurchase,349599
"January 01, 2025 17:06",7.99,5819,Hidden Histories: Liverpool’s Links to the Transatlantic Slave Trade,AndroidPayment,387583
"January 01, 2025 17:08",7.99,10586,Temples and Dragons: A Walking Tour of Hanoi’s Hoàn Kiếm Lake and its History,InAppPurchase,103843
"January 01, 2025 17:14",9.99,8246,The Secrets of the Historical Garden District: A Walking Tour,StripePayment,387628
"January 01, 2025 17:16",9.99,4962,Au coeur du Vieux-Québec: Un guide essentiel de ses trésors historiques,StripePayment,387630
"January 01, 2025 17:16",11.99,6664,Hard-rock mining in California: A Highway 49 driving tour to Jackson,InAppPurchase,387629
"January 01, 2025 17:20",9.99,6282,Jewel of the South: A local's guide to historic Charleston,AndroidPayment,286405
"January 01, 2025 17:29",9.99,5060,Place Royale et Petit-Champlain: découvrez le berceau de Québec,StripePayment,387630
"January 01, 2025 17:40",11.99,10259,Buda’s Castle District: A Walking Tour Through Budapest’s Bastion of Folklore,InAppPurchase,332283
"January 01, 2025 17:44",4.99,4404,Historical Downtown Austin: A Running or Walking Tour,AndroidPayment,195225
"January 01, 2025 17:50",5.99,1704,"Colonial Bogotá, La Candelaria",InAppPurchase,387635
"January 01, 2025 17:54",9.99,11550,"Auckland’s Hidden Stories: A Walk through Time, from Volcanoes to the Viaduct",InAppPurchase,374061
"January 01, 2025 18:01",19.99,8862,Mexico City's Historical Sights: A Walking Tour with Context,InAppPurchase,156015
"January 01, 2025 18:03",9.99,10571,Mexico City’s Aztec Origins: A Walking Tour of its Emerging Archaeology,InAppPurchase,156015
"January 01, 2025 18:12",9.99,8246,The Secrets of the Historical Garden District: A Walking Tour,InAppPurchase,387639
"January 01, 2025 18:14",9.99,8246,The Secrets of the Historical Garden District: A Walking Tour,CouponRedemptionResellerReply,387641
"January 01, 2025 18:26",11.99,4074,A Stroll through the Heart of Savannah’s Historical District,CouponRedemptionResellerReply,387642
"January 01, 2025 18:35",11.99,3852,Historic Krakow: A Journey through the Medieval Old Town and Wawel Castle,StripePayment,387242
"January 01, 2025 18:40",4.99,548,Bywater Stroll,InAppPurchase,387370
"January 01, 2025 18:49",6.99,9109,Ottawa‘s hidden history: from lawless outpost to Canada‘s capital,InAppPurchase,386838
"January 01, 2025 18:52",0.0,1298,Cape Point Audio Guide: Funicular Route,FreePayment,387645
"January 01, 2025 18:53",9.99,11550,"Auckland’s Hidden Stories: A Walk through Time, from Volcanoes to the Viaduct",InAppPurchase,362415
"January 01, 2025 18:55",5.99,1763,Traditional Bogotá,AndroidPayment,342303
"January 01, 2025 19:01",9.99,3261,The Interpreter’s Quarry: A guide to the Tidal Basin’s memorials,InAppPurchase,366777
"January 01, 2025 19:04",14.99,9752,Disneyland to Coastal Bliss: Orange County’s Epic Driving Adventure,CouponRedemptionResellerReply,387646
"January 01, 2025 19:04",8.99,3464,Monterey Driving Tour: From Del Monte Beach to Cannery Row and the Aquarium,InAppPurchase,387123
"January 01, 2025 19:09",7.99,10254,From Harbour to High Culture: A Guide to Hamburg's Port and Elbphilharmonie,AndroidPayment,380601
"January 01, 2025 19:20",9.99,6640,Ocean Drive Historic District: A Self Guided Tour of Newport,CouponRedemptionResellerReply,387649
"January 01, 2025 19:27",9.99,6405,"Freedom Trail Audio Tour, from Boston Common to Granary Burial Ground ",InAppPurchase,387652
"January 01, 2025 19:52",4.99,1152,Explore the Old City with a friend,CouponRedemptionResellerReply,387655
"January 01, 2025 19:55",4.99,1152,Explore the Old City with a friend,CouponRedemptionResellerReply,387656
"January 01, 2025 20:13",6.99,10817,St Louis Cemetery No.3: A Guide to New Orleans’ Unique Burial Traditions,StripePayment,387659
